Number,Legs,Wings,Gender,Length,Height,Weight,Environment,Classification
2766,4,2,Female,224,143,1260.0,volcanoes,Drake
2767,4,0,Male,1015,65,5709.375,water,Serpent
2768,4,0,Female,847,50,4764.375,air,Serpent
2769,4,2,Female,253,118,1423.125,desert,Drake
2770,4,0,Female,1146,64,6446.25,air,Serpent
2771,4,2,Male,206,147,1158.75,mountain,Drake
2772,0,0,Female,1202,43,6761.25,cave,Wyrm
2773,0,0,Male,1154,45,6491.25,cave,Wyrm
2774,2,2,Female,397,228,2233.125,volcanoes,Wyvern
2775,4,6,Male,578,373,3251.25,volcanoes,Dragon
2776,0,0,Female,1373,41,7723.125,swamp,Wyrm
2777,4,2,Female,217,127,1220.625,cave,Drake
2778,2,2,Male,400,210,2250.0,volcanoes,Wyvern
2779,4,2,Female,229,169,1288.125,volcanoes,Drake
2780,2,2,Female,222,167,1248.75,mountain,Drake
2781,2,2,Male,363,198,2041.875,volcanoes,Wyvern
2782,4,2,Male,851,91,4786.875,air,Flying Serpent
2783,4,6,Female,547,331,3076.875,volcanoes,Dragon
2784,0,0,Female,1115,35,6271.875,cave,Wyrm
2785,4,2,Male,185,116,1040.625,mountain,Drake
2786,2,4,Male,369,213,2075.625,volcanoes,Wyvern
2787,0,0,Male,1070,63,6018.75,swamp,Wyrm
2788,2,2,Female,408,208,2295.0,volcanoes,Wyvern
2789,4,6,Female,503,519,2829.375,cave,Dragon
2790,4,2,Female,238,121,1338.75,volcanoes,Drake
2791,2,4,Male,227,178,1276.875,volcanoes,Wyvern
2792,4,2,Male,436,391,2452.5,volcanoes,Dragon
2793,4,2,Female,987,70,5551.875,air,Flying Serpent
2794,4,6,Male,593,387,3335.625,cave,Dragon
2795,0,0,Male,936,45,5265.0,cave,Wyrm
2796,0,0,Female,1164,44,6547.5,swamp,Wyrm
2797,4,2,Male,215,102,1209.375,cave,Drake
2798,4,2,Male,435,398,2446.875,mountain,Dragon
2799,4,4,Female,667,445,3751.875,volcanoes,Dragon
2800,4,0,Female,1062,73,5973.75,water,Serpent
2801,4,2,Female,777,547,4370.625,cave,Dragon
2802,2,2,Female,338,196,1901.25,volcanoes,Wyvern
2803,2,4,Male,409,171,2300.625,volcanoes,Wyvern
2804,4,2,Male,186,117,1046.25,desert,Drake
2805,2,2,Female,218,165,1226.25,mountain,Drake
2806,2,2,Male,424,185,2385.0,volcanoes,Wyvern
2807,4,2,Male,589,76,3313.125,air,Flying Serpent
2808,4,0,Female,1032,54,5805.0,water,Serpent
2809,4,2,Male,721,97,4055.625,air,Flying Serpent
2810,4,4,Male,398,336,2238.75,cave,Dragon
2811,2,2,Female,236,130,1327.5,volcanoes,Drake
2812,4,2,Male,625,85,3515.625,air,Flying Serpent
2813,2,4,Female,436,279,2452.5,volcanoes,Wyvern
2814,0,0,Male,953,53,5360.625,cave,Wyrm
2815,2,2,Female,300,192,1687.5,volcanoes,Wyvern
2816,2,2,Female,465,237,2615.625,volcanoes,Wyvern
2817,2,2,Female,217,125,1220.625,desert,Drake
2818,2,2,Female,233,151,1310.625,desert,Drake
2819,4,6,Male,479,362,2694.375,volcanoes,Dragon
2820,4,2,Female,246,120,1383.75,volcanoes,Drake
2821,2,4,Female,336,188,1890.0,volcanoes,Wyvern
2822,4,2,Male,420,482,2362.5,cave,Dragon
2823,4,0,Female,711,63,3999.375,water,Serpent
2824,0,0,Male,952,59,5355.0,swamp,Wyrm
2825,4,6,Male,402,567,2261.25,mountain,Dragon
2826,4,2,Male,587,88,3301.875,air,Flying Serpent
2827,4,2,Female,1038,71,5838.75,air,Flying Serpent
2828,2,4,Male,200,196,1125.0,volcanoes,Wyvern
2829,0,0,Male,1015,51,5709.375,swamp,Wyrm
2830,4,0,Female,745,74,4190.625,water,Serpent
2831,4,2,Female,1039,78,5844.375,air,Flying Serpent
2832,2,2,Female,435,168,2446.875,volcanoes,Wyvern
2833,4,4,Female,735,366,4134.375,cave,Dragon
2834,4,0,Male,702,70,3948.75,air,Serpent
2835,4,0,Male,1029,66,5788.125,water,Serpent
2836,2,4,Male,256,191,1440.0,volcanoes,Wyvern
2837,4,6,Female,706,557,3971.25,mountain,Dragon
2838,4,0,Female,1143,64,6429.375,water,Serpent
2839,4,0,Female,1003,73,5641.875,water,Serpent
2840,4,0,Male,636,68,3577.5,air,Serpent
2841,4,0,Female,905,56,5090.625,air,Serpent
2842,2,2,Male,250,165,1406.25,volcanoes,Wyvern
2843,0,0,Female,1351,45,7599.375,cave,Wyrm
2844,4,2,Female,754,84,4241.25,air,Flying Serpent
2845,4,6,Female,674,352,3791.25,cave,Dragon
2846,0,0,Female,1158,38,6513.75,swamp,Wyrm
2847,2,4,Female,369,210,2075.625,volcanoes,Wyvern
2848,2,2,Female,309,276,1738.125,volcanoes,Wyvern
2849,0,0,Male,976,55,5490.0,cave,Wyrm
2850,4,2,Female,786,75,4421.25,air,Flying Serpent
2851,2,2,Female,585,178,3290.625,volcanoes,Wyvern
2852,4,2,Male,638,95,3588.75,air,Flying Serpent
2853,4,2,Male,187,143,1051.875,cave,Drake
2854,4,4,Female,801,507,4505.625,cave,Dragon
2855,2,4,Female,343,281,1929.375,volcanoes,Wyvern
2856,0,0,Male,1126,60,6333.75,cave,Wyrm
2857,4,2,Female,875,74,4921.875,air,Flying Serpent
2858,0,0,Female,974,46,5478.75,cave,Wyrm
2859,2,2,Male,268,142,1507.5,volcanoes,Wyvern
2860,2,2,Male,188,106,1057.5,woods,Drake
2861,0,0,Male,1066,59,5996.25,cave,Wyrm
2862,2,2,Male,207,101,1164.375,desert,Drake
2863,4,6,Female,595,272,3346.875,volcanoes,Dragon
2864,4,4,Female,818,377,4601.25,volcanoes,Dragon
2865,4,6,Male,544,390,3060.0,cave,Dragon
2866,4,0,Female,1002,60,5636.25,water,Serpent
2867,4,2,Female,227,135,1276.875,air,Drake
2868,4,2,Male,924,95,5197.5,air,Flying Serpent
2869,2,2,Male,377,179,2120.625,volcanoes,Wyvern
2870,4,0,Male,931,73,5236.875,air,Serpent
2871,4,2,Female,819,355,4606.875,mountain,Dragon
2872,2,2,Female,291,183,1636.875,volcanoes,Wyvern
2873,4,0,Female,724,58,4072.5,water,Serpent
2874,4,2,Female,264,154,1485.0,volcanoes,Drake
2875,2,2,Female,246,131,1383.75,volcanoes,Drake
2876,0,0,Female,1033,47,5810.625,swamp,Wyrm
2877,2,2,Female,242,163,1361.25,desert,Drake
2878,4,0,Female,900,69,5062.5,water,Serpent
2879,4,0,Male,879,73,4944.375,water,Serpent
2880,0,0,Male,991,62,5574.375,cave,Wyrm
2881,4,4,Male,414,333,2328.75,volcanoes,Dragon
2882,2,2,Female,237,148,1333.125,volcanoes,Drake
2883,4,2,Male,176,104,990.0,mountain,Drake
2884,0,0,Female,1243,47,6991.875,cave,Wyrm
2885,4,2,Male,456,537,2565.0,volcanoes,Dragon
2886,2,2,Female,235,173,1321.875,air,Drake
2887,0,0,Male,1170,58,6581.25,swamp,Wyrm
2888,0,0,Male,1248,51,7020.0,swamp,Wyrm
2889,4,4,Female,545,411,3065.625,mountain,Dragon
2890,4,6,Male,513,547,2885.625,mountain,Dragon
2891,4,2,Male,634,78,3566.25,air,Flying Serpent
2892,2,2,Male,189,119,1063.125,cave,Drake
2893,2,2,Female,244,125,1372.5,volcanoes,Drake
2894,4,0,Female,939,57,5281.875,water,Serpent
2895,0,0,Female,1162,46,6536.25,cave,Wyrm
2896,0,0,Female,1266,49,7121.25,swamp,Wyrm
2897,0,0,Male,1195,45,6721.875,swamp,Wyrm
2898,4,0,Male,715,72,4021.875,water,Serpent
2899,4,2,Female,809,73,4550.625,air,Flying Serpent
2900,4,2,Male,628,79,3532.5,air,Flying Serpent
2901,4,6,Female,569,389,3200.625,volcanoes,Dragon
2902,0,0,Female,1104,45,6210.0,cave,Wyrm
2903,0,0,Female,1060,43,5962.5,cave,Wyrm
2904,0,0,Female,1240,41,6975.0,cave,Wyrm
2905,0,0,Female,1083,45,6091.875,cave,Wyrm
2906,2,2,Male,201,177,1130.625,volcanoes,Wyvern
2907,4,2,Male,178,138,1001.25,desert,Drake
2908,2,2,Female,253,118,1423.125,volcanoes,Drake
2909,4,0,Female,781,58,4393.125,air,Serpent
2910,4,0,Female,838,72,4713.75,air,Serpent
2911,4,4,Male,612,378,3442.5,cave,Dragon
2912,2,4,Male,293,224,1648.125,volcanoes,Wyvern
2913,0,0,Male,1171,63,6586.875,swamp,Wyrm
2914,2,2,Female,218,125,1226.25,volcanoes,Drake
2915,2,2,Male,224,103,1260.0,volcanoes,Drake
2916,4,0,Female,709,72,3988.125,water,Serpent
2917,2,2,Male,349,161,1963.125,volcanoes,Wyvern
2918,2,2,Male,334,157,1878.75,volcanoes,Wyvern
2919,4,2,Male,192,122,1080.0,woods,Drake
2920,4,2,Female,255,162,1434.375,volcanoes,Drake
2921,4,0,Female,893,68,5023.125,water,Serpent
2922,4,2,Female,798,75,4488.75,air,Flying Serpent
2923,4,0,Female,785,66,4415.625,air,Serpent
2924,2,4,Female,393,261,2210.625,volcanoes,Wyvern
2925,4,2,Female,694,79,3903.75,air,Flying Serpent
2926,4,0,Male,911,79,5124.375,water,Serpent
2927,2,4,Male,205,178,1153.125,volcanoes,Wyvern
2928,4,0,Male,947,69,5326.875,air,Serpent
2929,4,2,Male,655,99,3684.375,air,Flying Serpent
2930,4,0,Female,876,72,4927.5,water,Serpent
2931,4,2,Male,910,93,5118.75,air,Flying Serpent
2932,4,0,Female,882,56,4961.25,air,Serpent
2933,4,0,Female,884,66,4972.5,water,Serpent
2934,4,2,Male,556,345,3127.5,mountain,Dragon
2935,4,0,Female,997,70,5608.125,water,Serpent
2936,4,4,Female,511,526,2874.375,mountain,Dragon
2937,2,2,Male,191,98,1074.375,desert,Drake
2938,0,0,Male,941,60,5293.125,swamp,Wyrm
2939,4,0,Male,661,79,3718.125,water,Serpent
2940,4,0,Male,604,77,3397.5,water,Serpent
2941,4,6,Male,555,554,3121.875,cave,Dragon
2942,4,2,Male,207,144,1164.375,desert,Drake
2943,4,4,Male,450,213,2531.25,volcanoes,Dragon
2944,4,0,Male,603,67,3391.875,air,Serpent
2945,4,6,Female,703,398,3954.375,cave,Dragon
2946,4,2,Female,260,114,1462.5,cave,Drake
2947,4,4,Male,549,230,3088.125,volcanoes,Dragon
2948,0,0,Female,1328,35,7470.0,swamp,Wyrm
2949,4,6,Male,423,509,2379.375,mountain,Dragon
2950,0,0,Male,954,51,5366.25,cave,Wyrm
2951,4,0,Female,751,60,4224.375,air,Serpent
2952,4,6,Male,541,346,3043.125,mountain,Dragon
2953,4,2,Female,560,366,3150.0,volcanoes,Dragon
2954,0,0,Male,919,62,5169.375,swamp,Wyrm
2955,4,2,Male,842,87,4736.25,air,Flying Serpent
2956,4,0,Male,939,66,5281.875,water,Serpent
2957,0,0,Female,1072,47,6030.0,cave,Wyrm
2958,2,4,Male,225,146,1265.625,volcanoes,Wyvern
2959,2,2,Male,331,125,1861.875,volcanoes,Wyvern
2960,2,4,Female,295,299,1659.375,volcanoes,Wyvern
2961,4,0,Male,669,71,3763.125,water,Serpent
2962,2,2,Female,238,151,1338.75,desert,Drake
2963,4,6,Male,489,443,2750.625,mountain,Dragon
2964,4,2,Female,906,74,5096.25,air,Flying Serpent
2965,2,2,Male,197,134,1108.125,air,Drake
2966,4,4,Male,601,563,3380.625,cave,Dragon
2967,2,2,Female,491,270,2761.875,volcanoes,Wyvern
2968,4,6,Female,766,330,4308.75,mountain,Dragon
2969,4,2,Male,409,472,2300.625,volcanoes,Dragon
2970,2,4,Female,462,198,2598.75,volcanoes,Wyvern
2971,2,2,Male,212,176,1192.5,volcanoes,Wyvern
2972,4,0,Female,1016,55,5715.0,water,Serpent
2973,4,6,Female,670,351,3768.75,cave,Dragon
2974,2,2,Female,411,262,2311.875,volcanoes,Wyvern
2975,4,0,Male,822,73,4623.75,water,Serpent
2976,2,2,Male,182,97,1023.75,mountain,Drake
2977,2,2,Female,512,198,2880.0,volcanoes,Wyvern
2978,4,2,Female,679,83,3819.375,air,Flying Serpent
2979,4,2,Female,221,153,1243.125,volcanoes,Drake
2980,2,2,Female,219,114,1231.875,volcanoes,Drake
2981,4,4,Female,760,430,4275.0,cave,Dragon
2982,4,4,Male,446,357,2508.75,volcanoes,Dragon
2983,4,0,Female,1068,68,6007.5,water,Serpent
2984,0,0,Male,976,60,5490.0,cave,Wyrm
2985,2,4,Female,578,240,3251.25,volcanoes,Wyvern
2986,4,2,Female,829,79,4663.125,air,Flying Serpent
2987,2,2,Female,217,172,1220.625,volcanoes,Drake
2988,4,0,Female,822,62,4623.75,water,Serpent
2989,4,0,Male,999,78,5619.375,water,Serpent
2990,4,0,Male,768,79,4320.0,water,Serpent
2991,2,2,Male,189,139,1063.125,cave,Drake
2992,4,6,Male,404,330,2272.5,mountain,Dragon
2993,4,2,Male,177,131,995.625,mountain,Drake
2994,4,0,Female,1066,69,5996.25,air,Serpent
2995,4,6,Female,788,372,4432.5,mountain,Dragon
2996,2,2,Male,219,132,1231.875,cave,Drake
2997,0,0,Female,1300,47,7312.5,cave,Wyrm
2998,4,2,Male,200,117,1125.0,woods,Drake
2999,4,2,Female,1072,83,6030.0,air,Flying Serpent
3000,2,2,Female,555,275,3121.875,volcanoes,Wyvern
3001,2,2,Female,547,267,3076.875,volcanoes,Wyvern
3002,4,6,Male,558,373,3138.75,mountain,Dragon
3003,2,4,Male,301,160,1693.125,volcanoes,Wyvern
3004,4,4,Female,609,554,3425.625,volcanoes,Dragon
3005,4,0,Male,693,75,3898.125,water,Serpent
3006,4,2,Female,1098,65,6176.25,air,Flying Serpent
3007,4,2,Female,700,77,3937.5,air,Flying Serpent
3008,4,0,Female,1101,63,6193.125,water,Serpent
3009,0,0,Female,1080,39,6075.0,swamp,Wyrm
3010,4,0,Male,842,78,4736.25,water,Serpent
3011,0,0,Male,1232,55,6930.0,cave,Wyrm
3012,0,0,Female,1325,40,7453.125,cave,Wyrm
3013,4,0,Male,897,70,5045.625,water,Serpent
3014,0,0,Female,1128,42,6345.0,cave,Wyrm
3015,4,2,Male,576,580,3240.0,cave,Dragon
3016,0,0,Male,869,53,4888.125,cave,Wyrm
3017,0,0,Male,934,53,5253.75,swamp,Wyrm
3018,4,2,Male,591,547,3324.375,mountain,Dragon
3019,0,0,Female,1202,36,6761.25,cave,Wyrm
3020,4,4,Male,402,473,2261.25,cave,Dragon
3021,2,2,Male,187,130,1051.875,woods,Drake
3022,2,4,Female,423,211,2379.375,volcanoes,Wyvern
3023,2,2,Male,212,147,1192.5,air,Drake
3024,0,0,Female,1143,39,6429.375,cave,Wyrm
3025,2,2,Male,202,123,1136.25,mountain,Drake
3026,2,2,Male,200,137,1125.0,woods,Drake
3027,2,2,Male,375,207,2109.375,volcanoes,Wyvern
3028,2,4,Female,509,250,2863.125,volcanoes,Wyvern
3029,0,0,Female,1339,49,7531.875,swamp,Wyrm
3030,4,2,Female,234,128,1316.25,volcanoes,Drake
3031,0,0,Female,1276,48,7177.5,swamp,Wyrm
3032,2,4,Male,404,201,2272.5,volcanoes,Wyvern
3033,4,2,Male,209,124,1175.625,woods,Drake
3034,4,2,Male,548,237,3082.5,cave,Dragon
3035,0,0,Male,1022,47,5748.75,swamp,Wyrm
3036,4,0,Male,603,71,3391.875,water,Serpent
3037,4,0,Female,1001,67,5630.625,water,Serpent
3038,2,4,Male,253,212,1423.125,volcanoes,Wyvern
3039,4,2,Female,761,67,4280.625,air,Flying Serpent
3040,4,0,Female,890,63,5006.25,air,Serpent
3041,4,0,Female,884,53,4972.5,water,Serpent
3042,0,0,Male,1188,61,6682.5,cave,Wyrm
3043,4,4,Female,752,489,4230.0,mountain,Dragon
3044,4,0,Female,1030,54,5793.75,water,Serpent
3045,4,2,Male,658,91,3701.25,air,Flying Serpent
3046,4,4,Female,762,582,4286.25,mountain,Dragon
3047,4,2,Male,901,98,5068.125,air,Flying Serpent
3048,2,2,Male,216,135,1215.0,cave,Drake
3049,4,2,Male,665,87,3740.625,air,Flying Serpent
3050,4,4,Female,659,385,3706.875,cave,Dragon
3051,2,2,Male,180,100,1012.5,desert,Drake
3052,2,2,Male,204,95,1147.5,air,Drake
3053,0,0,Female,984,44,5535.0,cave,Wyrm
3054,2,4,Male,316,169,1777.5,volcanoes,Wyvern
3055,2,2,Female,234,163,1316.25,air,Drake
3056,2,2,Female,276,239,1552.5,volcanoes,Wyvern
3057,4,2,Female,543,577,3054.375,mountain,Dragon
3058,0,0,Female,1149,41,6463.125,swamp,Wyrm
3059,0,0,Female,1157,43,6508.125,swamp,Wyrm
3060,2,2,Male,288,139,1620.0,volcanoes,Wyvern
3061,4,2,Female,904,76,5085.0,air,Flying Serpent
3062,2,2,Male,176,143,990.0,mountain,Drake
3063,4,0,Female,748,67,4207.5,air,Serpent
3064,2,2,Female,247,123,1389.375,woods,Drake
3065,4,0,Female,788,54,4432.5,air,Serpent
3066,2,2,Male,214,97,1203.75,woods,Drake
3067,4,4,Female,733,540,4123.125,volcanoes,Dragon
3068,4,0,Male,800,70,4500.0,water,Serpent
3069,0,0,Female,1284,42,7222.5,swamp,Wyrm
3070,2,2,Female,350,163,1968.75,volcanoes,Wyvern
3071,2,2,Male,203,177,1141.875,volcanoes,Wyvern
3072,4,6,Female,542,565,3048.75,cave,Dragon
3073,2,2,Female,248,161,1395.0,desert,Drake
3074,4,0,Male,722,70,4061.25,water,Serpent
3075,0,0,Female,1143,37,6429.375,swamp,Wyrm
3076,2,2,Female,228,124,1282.5,desert,Drake
3077,4,0,Female,1070,65,6018.75,water,Serpent
3078,4,2,Female,766,270,4308.75,mountain,Dragon
3079,4,2,Male,190,104,1068.75,cave,Drake
3080,4,2,Male,223,126,1254.375,cave,Drake
3081,4,4,Male,582,428,3273.75,volcanoes,Dragon
3082,4,4,Male,492,568,2767.5,mountain,Dragon
3083,4,2,Female,862,73,4848.75,air,Flying Serpent
3084,2,2,Male,198,142,1113.75,mountain,Drake
3085,4,2,Female,230,142,1293.75,desert,Drake
3086,4,0,Male,837,68,4708.125,water,Serpent
3087,4,2,Female,245,144,1378.125,air,Drake
3088,2,2,Female,258,119,1451.25,mountain,Drake
3089,4,0,Female,809,59,4550.625,air,Serpent
3090,0,0,Female,1069,49,6013.125,swamp,Wyrm
3091,2,2,Female,257,114,1445.625,desert,Drake
3092,2,2,Female,216,165,1215.0,woods,Drake
3093,4,0,Male,882,72,4961.25,air,Serpent
3094,4,4,Female,589,270,3313.125,volcanoes,Dragon
3095,4,2,Female,220,131,1237.5,air,Drake
3096,4,0,Male,616,70,3465.0,air,Serpent
3097,4,2,Female,766,514,4308.75,cave,Dragon
3098,4,0,Male,623,78,3504.375,air,Serpent
3099,2,4,Male,291,161,1636.875,volcanoes,Wyvern
3100,4,2,Male,219,108,1231.875,air,Drake
3101,4,2,Female,566,565,3183.75,cave,Dragon
3102,0,0,Male,1139,55,6406.875,cave,Wyrm
3103,0,0,Female,976,42,5490.0,cave,Wyrm
3104,2,2,Male,183,135,1029.375,desert,Drake
3105,4,0,Male,953,75,5360.625,air,Serpent
3106,2,2,Female,263,168,1479.375,desert,Drake
3107,2,2,Male,217,164,1220.625,volcanoes,Wyvern
3108,2,2,Female,373,161,2098.125,volcanoes,Wyvern
3109,4,6,Female,795,447,4471.875,mountain,Dragon
3110,0,0,Female,1366,43,7683.75,cave,Wyrm
3111,4,0,Female,703,66,3954.375,air,Serpent
3112,2,4,Female,465,200,2615.625,volcanoes,Wyvern
3113,4,4,Female,596,494,3352.5,mountain,Dragon
3114,4,4,Male,416,501,2340.0,mountain,Dragon
3115,0,0,Female,973,47,5473.125,swamp,Wyrm
3116,4,2,Female,845,65,4753.125,air,Flying Serpent
3117,4,0,Male,673,72,3785.625,air,Serpent
3118,2,2,Male,233,142,1310.625,volcanoes,Wyvern
3119,0,0,Female,1218,42,6851.25,cave,Wyrm
3120,4,0,Female,1028,68,5782.5,air,Serpent
3121,4,4,Female,551,531,3099.375,mountain,Dragon
3122,0,0,Male,1209,63,6800.625,swamp,Wyrm
3123,4,2,Female,725,70,4078.125,air,Flying Serpent
3124,4,0,Male,729,74,4100.625,air,Serpent
3125,4,0,Female,857,50,4820.625,air,Serpent
3126,0,0,Female,1287,42,7239.375,swamp,Wyrm
3127,4,2,Female,1080,77,6075.0,air,Flying Serpent
3128,2,2,Female,221,151,1243.125,woods,Drake
3129,0,0,Female,1272,37,7155.0,swamp,Wyrm
3130,4,2,Male,218,99,1226.25,air,Drake
3131,4,2,Female,1068,65,6007.5,air,Flying Serpent
3132,2,4,Male,358,151,2013.75,volcanoes,Wyvern
3133,2,2,Male,319,156,1794.375,volcanoes,Wyvern
3134,2,4,Female,561,242,3155.625,volcanoes,Wyvern
3135,4,2,Female,264,173,1485.0,cave,Drake
3136,2,2,Female,259,245,1456.875,volcanoes,Wyvern
3137,4,2,Female,255,135,1434.375,woods,Drake
3138,4,2,Male,556,269,3127.5,mountain,Dragon
3139,4,2,Female,241,149,1355.625,air,Drake
3140,4,0,Female,1062,59,5973.75,air,Serpent
3141,2,2,Female,361,281,2030.625,volcanoes,Wyvern
3142,2,2,Male,328,166,1845.0,volcanoes,Wyvern
3143,2,2,Female,217,159,1220.625,volcanoes,Drake
3144,0,0,Male,1141,45,6418.125,swamp,Wyrm
3145,2,4,Male,309,213,1738.125,volcanoes,Wyvern
3146,2,2,Male,400,141,2250.0,volcanoes,Wyvern
3147,4,0,Male,713,74,4010.625,water,Serpent
3148,4,6,Male,590,322,3318.75,volcanoes,Dragon
3149,2,2,Female,259,164,1456.875,volcanoes,Drake
3150,0,0,Female,1249,40,7025.625,cave,Wyrm
3151,4,2,Female,745,579,4190.625,cave,Dragon
3152,4,0,Male,724,66,4072.5,air,Serpent
3153,4,2,Male,178,120,1001.25,cave,Drake
3154,4,6,Male,446,326,2508.75,cave,Dragon
3155,4,2,Male,796,91,4477.5,air,Flying Serpent
3156,4,0,Male,1018,65,5726.25,water,Serpent
3157,4,2,Female,1026,77,5771.25,air,Flying Serpent
3158,4,6,Female,726,271,4083.75,cave,Dragon
3159,4,0,Female,1113,54,6260.625,water,Serpent
3160,4,0,Female,712,57,4005.0,water,Serpent
3161,4,2,Female,216,144,1215.0,cave,Drake
3162,2,2,Female,254,150,1428.75,woods,Drake
3163,4,0,Female,1144,66,6435.0,water,Serpent
3164,2,2,Male,403,136,2266.875,volcanoes,Wyvern
3165,0,0,Male,1125,48,6328.125,swamp,Wyrm
3166,4,2,Male,178,98,1001.25,air,Drake
3167,0,0,Female,1037,35,5833.125,cave,Wyrm
3168,4,2,Female,1020,67,5737.5,air,Flying Serpent
3169,4,4,Female,582,598,3273.75,volcanoes,Dragon
3170,2,4,Female,319,186,1794.375,volcanoes,Wyvern
3171,4,2,Female,1099,70,6181.875,air,Flying Serpent
3172,4,2,Female,910,82,5118.75,air,Flying Serpent
3173,4,2,Male,176,143,990.0,cave,Drake
3174,0,0,Male,978,54,5501.25,cave,Wyrm
3175,2,2,Male,421,171,2368.125,volcanoes,Wyvern
3176,4,2,Male,719,81,4044.375,air,Flying Serpent
3177,4,2,Female,898,69,5051.25,air,Flying Serpent
3178,4,2,Male,817,91,4595.625,air,Flying Serpent
3179,2,2,Female,342,243,1923.75,volcanoes,Wyvern
3180,0,0,Female,1358,35,7638.75,cave,Wyrm
3181,2,4,Female,417,230,2345.625,volcanoes,Wyvern
3182,0,0,Female,1310,49,7368.75,swamp,Wyrm
3183,4,0,Female,821,65,4618.125,air,Serpent
3184,4,2,Male,196,111,1102.5,woods,Drake
3185,4,0,Male,765,69,4303.125,air,Serpent
3186,4,2,Male,824,96,4635.0,air,Flying Serpent
3187,4,2,Male,630,93,3543.75,air,Flying Serpent
3188,4,2,Male,421,534,2368.125,mountain,Dragon
3189,4,2,Female,691,507,3886.875,volcanoes,Dragon
3190,4,4,Male,588,405,3307.5,cave,Dragon
3191,4,2,Male,607,247,3414.375,mountain,Dragon
3192,4,4,Male,416,375,2340.0,mountain,Dragon
3193,4,0,Male,764,79,4297.5,water,Serpent
3194,4,2,Male,205,113,1153.125,woods,Drake
3195,2,2,Male,186,115,1046.25,volcanoes,Drake
3196,4,0,Female,863,65,4854.375,water,Serpent
3197,4,2,Male,196,93,1102.5,air,Drake
3198,4,2,Female,1081,76,6080.625,air,Flying Serpent
3199,2,4,Female,557,279,3133.125,volcanoes,Wyvern
3200,0,0,Female,973,38,5473.125,swamp,Wyrm
3201,4,2,Male,434,389,2441.25,volcanoes,Dragon
3202,0,0,Female,1258,44,7076.25,swamp,Wyrm
3203,4,2,Female,698,82,3926.25,air,Flying Serpent
3204,0,0,Male,993,64,5585.625,swamp,Wyrm
3205,4,2,Male,465,544,2615.625,cave,Dragon
3206,0,0,Male,1232,49,6930.0,swamp,Wyrm
3207,4,0,Female,1117,74,6283.125,water,Serpent
3208,0,0,Female,1082,39,6086.25,cave,Wyrm
3209,4,0,Male,806,76,4533.75,water,Serpent
3210,4,2,Male,590,91,3318.75,air,Flying Serpent
3211,2,4,Female,533,275,2998.125,volcanoes,Wyvern
3212,2,2,Male,178,117,1001.25,volcanoes,Drake
3213,4,2,Male,208,100,1170.0,cave,Drake
3214,4,2,Female,532,301,2992.5,cave,Dragon
3215,4,4,Female,633,560,3560.625,mountain,Dragon
3216,2,4,Female,541,198,3043.125,volcanoes,Wyvern
3217,4,2,Female,847,83,4764.375,air,Flying Serpent
3218,4,2,Female,245,156,1378.125,air,Drake
3219,2,2,Female,263,173,1479.375,mountain,Drake
3220,4,0,Female,1059,51,5956.875,water,Serpent
3221,4,0,Female,956,65,5377.5,water,Serpent
3222,4,2,Female,251,169,1411.875,woods,Drake
3223,4,0,Male,765,77,4303.125,air,Serpent
3224,4,2,Female,688,72,3870.0,air,Flying Serpent
3225,4,2,Female,222,164,1248.75,mountain,Drake
3226,4,6,Female,684,392,3847.5,mountain,Dragon
3227,4,2,Female,1016,80,5715.0,air,Flying Serpent
3228,4,6,Female,589,410,3313.125,mountain,Dragon
3229,4,4,Male,412,374,2317.5,mountain,Dragon
3230,0,0,Male,947,60,5326.875,swamp,Wyrm
3231,4,0,Female,859,70,4831.875,air,Serpent
3232,2,4,Female,396,196,2227.5,volcanoes,Wyvern
3233,4,2,Male,442,515,2486.25,cave,Dragon
3234,2,4,Female,579,284,3256.875,volcanoes,Wyvern
3235,2,4,Female,466,281,2621.25,volcanoes,Wyvern
3236,4,2,Male,176,122,990.0,desert,Drake
3237,2,2,Female,254,158,1428.75,mountain,Drake
3238,4,2,Male,415,457,2334.375,mountain,Dragon
3239,4,2,Male,676,82,3802.5,air,Flying Serpent
3240,4,0,Male,985,69,5540.625,water,Serpent
3241,4,2,Male,637,84,3583.125,air,Flying Serpent
3242,4,2,Female,556,484,3127.5,cave,Dragon
3243,4,2,Female,797,428,4483.125,mountain,Dragon
3244,2,4,Male,264,206,1485.0,volcanoes,Wyvern
3245,2,4,Male,363,223,2041.875,volcanoes,Wyvern
3246,4,2,Female,1029,78,5788.125,air,Flying Serpent
3247,4,0,Female,797,72,4483.125,air,Serpent
3248,2,2,Female,239,125,1344.375,desert,Drake
3249,0,0,Male,1135,56,6384.375,cave,Wyrm
3250,4,2,Female,815,77,4584.375,air,Flying Serpent
3251,4,0,Female,930,57,5231.25,water,Serpent
3252,4,2,Female,680,464,3825.0,cave,Dragon
3253,4,2,Male,921,96,5180.625,air,Flying Serpent
3254,4,2,Female,503,443,2829.375,volcanoes,Dragon
3255,0,0,Male,1218,56,6851.25,cave,Wyrm
3256,4,4,Female,630,428,3543.75,cave,Dragon
3257,0,0,Male,1050,63,5906.25,swamp,Wyrm
3258,2,4,Female,495,267,2784.375,volcanoes,Wyvern
3259,4,2,Male,663,77,3729.375,air,Flying Serpent
